Academic Year,LSS Number,LSS Name,School Number,School Name,School Type,Mobility Rate,Mobility Count,Entrants Rate,Entrants Count,Withdrawals Rate,Withdrawals Count,Avg Daily Member Count,Create Date
2018,1,Allegany,301,Flintstone Elementary,Elementary,19.2,42,10.5,23,8.7,19,219.3,20190626
2018,1,Allegany,401,South Penn Elementary,Elementary,19.6,91,10.3,48,9.3,43,464.6,20190626
2018,1,Allegany,402,John Humbird Elementary,Elementary,22.1,54,11.5,28,10.6,26,244.5,20190626
2018,1,Allegany,405,Fort Hill High,High,20.9,156,7.6,57,13.3,99,746.3,20190626
2018,1,Allegany,406,Washington Middle,Middle,14.5,83,6.1,35,8.4,48,571.9,20190626
2018,1,Allegany,502,Northeast Elementary,Elementary,11.7,34,6.2,18,5.5,16,291.1,20190626
2018,1,Allegany,504,Braddock Middle,Middle,16.2,95,7.3,43,8.8,52,587.8,20190626
2018,1,Allegany,601,Center for Career & Technical Education,High,8.5,22,<= 5.0,*,6.9,18,260,20190626
2018,1,Allegany,603,West Side Elementary,Elementary,22.8,81,12.1,43,10.7,38,355.5,20190626
2018,1,Allegany,606,Allegany High,High,17.5,122,6.2,43,11.3,79,698.5,20190626
2018,1,Allegany,701,Cresaptown Elementary,Elementary,18.7,57,9.5,29,9.2,28,304.4,20190626
2018,1,Allegany,702,Bel Air Elementary,Elementary,16.5,35,6.6,14,9.9,21,211.7,20190626
2018,1,Allegany,801,Westernport Elementary,Elementary,15.5,37,8,19,7.6,18,238.2,20190626
2018,1,Allegany,802,Westmar Middle,Middle,6.5,18,<= 5.0,*,<= 5.0,*,279,20190626
2018,1,Allegany,1001,George's Creek Elementary,Elementary,16.1,44,7.7,21,8.4,23,273.7,20190626
2018,1,Allegany,1101,Frost Elementary,Elementary,11.6,25,5.6,12,6.1,13,214.6,20190626
2018,1,Allegany,1301,Mount Savage Middle,Middle,12.8,50,5.9,23,6.9,27,390.2,20190626
2018,1,Allegany,1302,Mt. Savage Elementary,Elementary,<= 5.0,*,<= 5.0,*,<= 5.0,*,*,20190626
2018,1,Allegany,2404,Mountain Ridge High School,High,10.9,86,<= 5.0,*,7.1,56,787.1,20190626
2018,1,Allegany,2801,Beall Elementary,Elementary,12.5,49,7.4,29,5.1,20,392.5,20190626
2018,1,Allegany,2901,Cash Valley Elementary,Elementary,12.9,29,6.2,14,6.7,15,224.6,20190626
2018,1,Allegany,2902,Parkside Elementary,Elementary,19.3,39,9.4,19,9.9,20,202.3,20190626
2018,1,Allegany,A,All Allegany Schools,Elementary,16.4,626,8.4,323,7.9,303,3825.4,20190626
2018,1,Allegany,A,All Allegany Schools,Middle,13.5,246,5.9,108,7.5,138,1828.9,20190626
2018,1,Allegany,A,All Allegany Schools,All,15.4,1258,6.9,565,8.5,693,8146.3,20190626
2018,1,Allegany,A,All Allegany Schools,High,15.5,386,5.4,134,10.1,252,2492,20190626
2018,2,Anne Arundel,1023,Brooklyn Park Middle,Middle,19.8,142,10.9,78,8.9,64,718.3,20190626
2018,2,Anne Arundel,1033,Glen Burnie High,High,18.6,371,9.1,181,9.5,190,1990.4,20190626
2018,2,Anne Arundel,1043,Corkran Middle School,Middle,19.9,117,12.9,76,7,41,588,20190626
2018,2,Anne Arundel,1053,Lindale Middle,Middle,18.6,201,9.5,103,9.1,98,1080.3,20190626
2018,2,Anne Arundel,1063,Marley Middle,Middle,21.8,185,12.6,107,9.2,78,848.7,20190626
2018,2,Anne Arundel,1082,Belle Grove Elementary,Elementary,21.9,55,11.1,28,10.7,27,251.4,20190626
2018,2,Anne Arundel,1092,Brooklyn Park Elementary,Elementary,17.9,72,9.4,38,8.4,34,403.1,20190626
2018,2,Anne Arundel,1112,George T. Cromwell Elementary,Elementary,22.1,70,13.3,42,8.8,28,316.9,20190626
2018,2,Anne Arundel,1122,Freetown Elementary,Elementary,20.5,93,10.2,46,10.4,47,453,20190626
2018,2,Anne Arundel,1132,Glendale Elementary,Elementary,23.5,89,12.1,46,11.3,43,379.5,20190626
2018,2,Anne Arundel,1142,Hilltop Elementary,Elementary,22.7,147,13.1,85,9.6,62,647.2,20190626
2018,2,Anne Arundel,1152,Linthicum Elementary,Elementary,6.8,33,<= 5.0,*,<= 5.0,*,488.8,20190626
2018,2,Anne Arundel,1162,Marley Elementary,Elementary,22.7,183,12.8,103,9.9,80,805.7,20190626
2018,2,Anne Arundel,1172,North Glen Elementary,Elementary,16.5,39,10.2,24,6.3,15,236.4,20190626
2018,2,Anne Arundel,1182,Oakwood Elementary,Elementary,12.6,33,8.8,23,<= 5.0,*,261.9,20190626
2018,2,Anne Arundel,1192,Overlook Elementary,Elementary,15.7,54,9,31,6.7,23,343,20190626
2018,2,Anne Arundel,1202,Park Elementary,Elementary,25.4,113,17.1,76,8.3,37,444.5,20190626
2018,2,Anne Arundel,1212,Point Pleasant Elementary,Elementary,15.2,81,7.7,41,7.5,40,532.7,20190626
2018,2,Anne Arundel,1232,Quarterfield Elementary,Elementary,20.7,82,12.6,50,8.1,32,396,20190626
2018,2,Anne Arundel,1242,Richard Henry Lee Elementary,Elementary,20.4,105,11.1,57,9.3,48,514,20190626
2018,2,Anne Arundel,1262,Woodside Elementary,Elementary,22.4,75,12.2,41,10.1,34,335.2,20190626
2018,2,Anne Arundel,1274,Marley Glen School,Elementary,30,9,16.7,5,13.3,4,30,20190626
2018,2,Anne Arundel,1274,Marley Glen School,Middle,*,*,*,*,*,*,*,20190626
2018,2,Anne Arundel,1274,Marley Glen School,High,18.6,3,6.2,1,12.4,2,16.2,20190626
2018,2,Anne Arundel,1274,Marley Glen School,All,25.2,14,14.4,8,10.8,6,55.6,20190626
2018,2,Anne Arundel,1323,North County High,High,18.2,401,8.6,188,9.7,213,2198.7,20190626
2018,2,Anne Arundel,2013,Severna Park High,High,<= 5.0,*,<= 5.0,*,<= 5.0,*,*,20190626
2018,2,Anne Arundel,2023,Northeast High,High,9.5,134,<= 5.0,*,5.1,72,1413.5,20190626
2018,2,Anne Arundel,2033,George Fox Middle,Middle,13.5,112,7.8,65,5.7,47,829.3,20190626
2018,2,Anne Arundel,2043,Severna Park Middle,Middle,<= 5.0,*,<= 5.0,*,<= 5.0,*,*,20190626
2018,2,Anne Arundel,2052,Arnold Elementary,Elementary,7.4,32,<= 5.0,*,<= 5.0,*,433,20190626
